house_id,bedrooms,bathrooms,size_sqft,location,year_built,price
1,2,1,850,Suburb,1995,180000
2,3,2,1200,City Center,2005,350000
3,4,3,2000,Suburb,2010,420000
4,3,2,1400,Suburb,2000,280000
5,5,4,2500,City Center,2018,650000
6,2,1,900,Rural,1988,150000
7,4,3,1800,Suburb,2012,400000
8,3,2,1100,Rural,1990,170000
9,1,1,600,City Center,2015,220000
10,3,2,1300,Suburb,2008,300000
11,4,3,2100,City Center,2019,700000
12,2,1,950,Rural,1985,160000
13,5,4,2600,Suburb,2020,640000
14,3,2,1250,City Center,2007,320000
15,4,3,1900,Suburb,2011,410000
